participant_id,story_condition,gender,age_years,school_level,ses_hollingshead,ln_k_pre,ln_k_post,allocation_immediate_pre,allocation_immediate_post,allocation_short_pre,allocation_short_post,allocation_long_pre,allocation_long_post,subjective_time_pre,subjective_time_post
S1_FD3A8B69,ant_and_grasshopper,male,10,grade_4,52,-7.269602145714807,-7.981878878289828,3.33333333333333,0,6.66666666666666,20,90,80,100,31
S1_7F8E350E,last_leaf_maple_valley,female,14,grade_8,43,-6.565166074925644,-7.981878878289828,33.33333333333333,50,33.33333333333333,30,33.33333333333333,20,60,48.33333333333334
S1_191455AF,ant_and_grasshopper,female,14,grade_8,46.5,-7.981878878289828,-7.277516909858038,50,60,33.33333333333333,40,16.66666666666666,0,73.33333333333333,76
S1_21FF4FAC,last_leaf_maple_valley,female,10,grade_4,62,-7.981878878289828,-7.981878878289828,16.66666666666666,50,16.66666666666666,0,66.66666666666666,50,77,62.66666666666666
S1_39D7DF0D,ant_and_grasshopper,female,14,grade_8,59,-7.981878878289828,-7.981878878289828,16.66666666666666,40,16.66666666666666,10,66.66666666666666,50,25.33333333333333,54
S1_FD7CDF6C,ant_and_grasshopper,male,14,grade_8,52,-6.565166074925644,-6.575336962689026,33.33333333333333,49,33.33333333333333,41,33.33333333333333,10,54,52.33333333333334
S1_AE7F3ED7,ant_and_grasshopper,female,15,grade_8,47.5,-4.867474092277174,-3.114494751207128,33.33333333333333,50,0,0,66.66666666666666,50,6.333333333333333,7
S1_8E1CD4DC,ant_and_grasshopper,female,14,grade_8,55.5,-6.579945452939578,-6.575336962689026,33.33333333333333,50,16.66666666666666,0,50,50,72.66666666666667,37.33333333333334
S1_03EFF20D,ant_and_grasshopper,female,14,grade_8,62.5,-6.565166074925644,-6.581810403950024,23.33333333333333,30,43.33333333333333,30,33.33333333333333,40,69.33333333333333,68.33333333333333
S1_F182C106,last_leaf_maple_valley,male,14,grade_8,55,-5.907494423377738,-3.809592824009038,16.66666666666666,30,16.66666666666666,20,66.66666666666666,50,50,49.33333333333334
S1_B013570F,ant_and_grasshopper,female,9,grade_4,48,-7.981878878289828,-7.981878878289828,16.33333333333333,14,66.66666666666666,50,17,36,14.66666666666667,26.66666666666667
S1_0D134A1B,ant_and_grasshopper,male,10,grade_4,52,-7.981878878289828,-5.196417130759268,16.66666666666666,10,16.66666666666666,10,66.66666666666666,80,61.66666666666666,61.66666666666666
S1_680717E4,last_leaf_maple_valley,male,13,grade_8,53.5,-3.129529941626674,-3.80899121414539,33.33333333333333,100,66.66666666666666,0,0,0,69.33333333333333,68.33333333333333
S1_443093E2,ant_and_grasshopper,male,14,grade_8,22,-5.890288333444447,-7.277516909858038,20,20,6.66666666666666,60,73.33333333333333,20,6.666666666666667,8.666666666666666
S1_D9F4B4D6,last_leaf_maple_valley,female,10,grade_4,59,-7.981878878289828,-7.981878878289828,3.33333333333333,5,30,15,66.66666666666666,80,76.33333333333333,59
S1_0E445601,ant_and_grasshopper,male,10,grade_4,48,-9.210340371976182,-7.277516909858038,33.33333333333333,40,33.33333333333333,30,33.33333333333333,30,6,6.333333333333333
S1_B1AD6362,last_leaf_maple_valley,male,10,grade_4,48.5,-7.981878878289828,-7.981878878289828,33.33333333333333,20,16.66666666666666,40,50,40,56.66666666666666,18
S1_3D9AB708,last_leaf_maple_valley,male,14,grade_8,57,-6.565166074925644,-5.196417130759268,33.33333333333333,50,66.66666666666666,50,0,0,5.666666666666667,5.333333333333333
S1_4C966472,last_leaf_maple_valley,female,10,grade_4,77,-9.210340371976182,-5.196417130759268,8.33333333333333,20,33.33333333333333,30,58.33333333333334,50,55,66.66666666666667
S1_31FB5107,last_leaf_maple_valley,female,,grade_8,52.45,-7.981878878289828,-7.277516909858038,16.66666666666666,15,33.33333333333333,40,50,45,35.33333333333334,35.66666666666666
S1_48E31F66,ant_and_grasshopper,female,10,grade_4,60,-3.107598080589367,-0.6931471805599453,16.66666666666666,10,33.33333333333333,50,50,40,37.66666666666666,30.33333333333333
S1_FB1B6E04,ant_and_grasshopper,female,14,grade_8,66,-6.565166074925644,-5.196417130759268,16.66666666666666,20,16.66666666666666,30,66.66666666666666,50,0,26.66666666666667
